Question,Correct Answer,Wrong Answer 1,Wrong Answer 2,Wrong Answer 3
What does the Constitution do?, Sets up the Government, Sets up Tax Rates, Sets up the Education System, Sets up National Holidays
What is an Amendment?, A change to the constitution, Creates new Government Agencies, Automatically updates laws every 10 years, Appoints new Supreme Court Justices
What do we call the first ten amendments to the Constitution?, Bill of Rights, The Declaration of Independence, the Federalist Papers, the Articles of Confederation
How many amendemnts does the Constitution have?, 27, 28, 30, 35
What did the Declaration of Independence do?, Announced our Independence,Declared war on foreign nations, Established the first set of laws for the United States.,Outlined the specific rights of all citizens.
The idea of self-government is in the first three words of the Constitution. What are these words?, We The People, More Perfect Union, Insure Domestic Tranquility, Provide Common Defence
What is the supreme law of the land?, the Constitution, the Declaration of Independence, the Articles of Confederation, the Emancipation Proclamation
What did Susan B. Anthony do?,Fought for women’s rights,Invented the telephone,Was the first female governor,Wrote the Constitution
Name one war fought by the United States in the 1900s.,World War II,The Civil War,The American Revolution,The War of 1812
Who was President during World War I?,Woodrow Wilson,Franklin Roosevelt,George Washington,Abraham Lincoln
Who was President during the Great Depression and World War II?,Franklin Roosevelt,Herbert Hoover,Dwight D. Eisenhower,John F. Kennedy
Who did the United States fight in World War II?,Germany Italy and Japan, Germany Russia and Japan, Spain Italy and China,Canada Mexico and Brazil
Before he was President Eisenhower was a general. What war was he in?,World War II,World War I,The Vietnam War,The Korean War
During the Cold War what was the main concern of the United States?,Communism,Fascism,Global warming,Space exploration
What movement tried to end racial discrimination?,Civil rights movement,Women’s suffrage,Labor movement,Environmental movement
What did Martin Luther King Jr. do?,Fought for civil rights,Fought for labor rights,Ran for President,Led the Revolutionary War
What major event happened on September 11 2001 in the United States?,Terrorists attacked the United States,The U.S. declared war on Iraq,Hurricane Katrina hit,The U.S. stock market crashed
Name one American Indian tribe in the United States.,Cherokee,Lumbee,Aztec,Mayan
Name one of the two longest rivers in the United States.,Mississippi River,Hudson River,Colorado River,Amazon River
What ocean is on the West Coast of the United States?,Pacific Ocean,Atlantic Ocean,Indian Ocean,Arctic Ocean
What ocean is on the East Coast of the United States?,Atlantic Ocean,Pacific Ocean,Indian Ocean,Arctic Ocean
Name one U.S. territory.,Puerto Rico,Canada,Mexico,Greenland
Name one state that borders Canada.,New York,California,Florida,Nevada
Name one state that borders Mexico.,Texas,New York,Oregon,Tennessee
What is the capital of the United States?,Washington D.C.,New York City,Los Angeles,Chicago
Where is the Statue of Liberty?,New York Harbor,Washington D.C.,Boston,Philadelphia
Why does the flag have 13 stripes?,For the 13 original colonies,For the 13 current states,For the 13 American Indian tribes,For the 13 founding Presidents
Why does the flag have 50 stars?,For the 50 states,For the 50 Presidents,For the 50 members of the Senate,For the 50 years of independence
What is the name of the national anthem?,The Star-Spangled Banner,America the Beautiful,My Country 'Tis of Thee,God Bless America
When do we celebrate Independence Day?,July 4,January 1,December 25,November 11
Name two national U.S. holidays.,Thanksgiving and Independence Day,Valentine's Day and Halloween,Columbus Day and Labor Day,Earth Day and Arbor Day
What are two rights in the Declaration of Independence?,Life and liberty,Freedom of religion and press,The right to vote and bear arms,Freedom of assembly and petition
What is freedom of religion?,You can practice any religion or not practice a religion,You must practice a religion,You can only practice one religion,The government tells you what religion to follow
What is the economic system in the United States?,Capitalism,Communism,Socialism,Feudalism
What is the rule of law?,Everyone must follow the law,Only citizens must follow the law,Government officials don't have to follow the law,The President is above the law
Name one branch of the government.,Congress,FBI,Federal Reserve,Department of Defense
What stops one branch of government from becoming too powerful?,Checks and balances,Voting,Public opinion,The media
Who is in charge of the executive branch?,The President,The Supreme Court,Congress,The Speaker of the House
Who makes federal laws?,Congress,The President,The Supreme Court,The States
What are the two parts of the U.S. Congress?,The Senate and House of Representatives,The Senate and the Supreme Court,The House and the Cabinet,The President and Congress
How many U.S. Senators are there?,100,435,50,9
We elect a U.S. Senator for how many years?,6,2,4,10
The House of Representatives has how many voting members?,435,100,50,9
We elect a U.S. Representative for how many years?,2,4,6,8
Who does a U.S. Senator represent?,All people of the state,Only people from their political party,The entire country,The President
Why do some states have more Representatives than other states?,Because of the state's population,Because of the state's size,Because of the state's wealth,Because of how long the state has existed
We elect a President for how many years?,4,2,6,8
In what month do we vote for President?,November,January,July,October
If both the President and Vice President can no longer serve who becomes President?,The Speaker of the House,The Secretary of State,The Chief Justice,The Senate Majority Leader
Who is the Commander in Chief of the military?,The President,The Vice President,The Secretary of Defense,The Chairman of the Joint Chiefs of Staff
Who signs bills to become laws?,The President,Congress,The Supreme Court,The Vice President
Who vetoes bills?,The President,Congress,The Supreme Court,The Vice President
What does the Presidents Cabinet do?,Advises the President,Makes laws,Runs the military,Judges cases
What are two Cabinet-level positions?,Secretary of State and Secretary of Education,Attorney General and Chief of Staff,Secretary of Defense and Speaker of the House,Secretary of the Treasury and Chairman of the Federal Reserve
What does the judicial branch do?,Interprets laws,Makes laws,Enforces laws,Vetoes laws
What is the highest court in the United States?,The Supreme Court,The Court of Appeals,The District Court,Congress
How many justices are on the Supreme Court?,9,50,100,435
Who is the Chief Justice of the United States now?,John Roberts,Clarence Thomas,Neil Gorsuch,Elena Kagan
Under our Constitution some powers belong to the federal government. What is one power of the federal government?,To declare war,To issue drivers' licenses,To create schools,To regulate local police
Under our Constitution some powers belong to the states. What is one power of the states?,Provide schooling and education,Declare war,Make treaties,Print money
Who is the Governor of your state now?,(Answer will vary),Kamala Harris,Mitch McConnell,John Roberts
What is the capital of your state?,(Answer will vary),New York City,Los Angeles,Miami
What are the two major political parties in the United States?,Democratic and Republican,Democratic and Independent,Libertarian and Green,Constitution and Reform
What is the name of the Speaker of the House of Representatives now?,(Answer will vary),Joe Biden,Kamala Harris,Mitch McConnell
There are four amendments to the Constitution about who can vote. Describe one of them.,Citizens 18 and older can vote,Only men can vote,Citizens who own property can vote,Only people born in the U.S. can vote
What is one responsibility that is only for United States citizens?,Serve on a jury,Pay taxes,Obey the law,Own a home
Name one right only for United States citizens.,Vote in a federal election,Freedom of speech,Freedom of religion,Bear arms
What are two rights of everyone living in the United States?,Freedom of speech and freedom of religion,Voting and serving on a jury,The right to bear arms and the right to travel,Free health care and free education
What do we show loyalty to when we say the Pledge of Allegiance?,The United States,The President,Congress,The military
What is one promise you make when you become a United States citizen?,Obey the laws of the United States,Vote in every election,Get a job,Join a political party
How old do citizens have to be to vote for President?,18,21,16,35
What are two ways that Americans can participate in their democracy?,Vote and run for office,Own a business and pay taxes,Travel and donate money,Serve on a jury and buy a house
When is the last day you can send in federal income tax forms?,April 15,January 1,July 4,December 31
When must all men register for the Selective Service?,At age 18,At age 16,At age 21,At birth
Who lived in America before the Europeans arrived?,American Indians,The British,African slaves,French settlers
What group of people was taken to America and sold as slaves?,Africans,Native Americans,Asians,Canadians
What is one reason the colonists came to America, freedom, escape Winter, to find the Fountain of Youth, to escape the influence of ancient European art
Why did the colonists fight the British?,Because of high taxes,Because of religious persecution,Because of unfair land policies,Because of trade agreements
Who wrote the Declaration of Independence?,Thomas Jefferson,George Washington,Benjamin Franklin,John Adams
When was the Declaration of Independence adopted?,July 4 1776,January 1 1787, July 20 1993, July 14 1800
Name three original states.,New Hampshire Massachusetts and Rhode Island, Texas California and Florida, Oregon Washingon and Arizona, Utah Alaska and Hawaii
What happened at the Constitutional Convention?,The Constitution was written.,The Declaration of Independence was signed.,The Bill of Rights was created.,The Articles of Confederation were adopted.
When was the Constitution written?,1787,1789,1776,1801
The Federalist Papers supported the passage of the U.S. Constitution. Name one of the writers.,(James) Madison,(Thomas) Jefferson,(John) Adams,(Samuel) Adams
What is one thing Benjamin Franklin is famous for?,U.S. diplomat,Inventor of the lightbulb,First Secretary of State,First Vice President
Who is the 'Father of Our Country'?,(George) Washington,(Thomas) Jefferson,(John) Adams,(Benjamin) Franklin
Who was the first President?,(George) Washington,(John) Adams,(Thomas) Jefferson,(James) Madison
What territory did the United States buy from France in 1803?,the Louisiana Territory,Florida,Texas,California
Name one war fought by the United States in the 1800s.,War of 1812,World War I,World War II,Vietnam War
Name the U.S. war between the North and the South.,the Civil War,the Revolutionary War,the War of 1812,the Spanish-American War
Name one problem that led to the Civil War.,slavery,Women's rights,Civil rights,Labor laws
What was one important thing that Abraham Lincoln did?,freed the slaves (Emancipation Proclamation),signed the Constitution,founded the Republican Party,led the American Revolution
What did the Emancipation Proclamation do?,freed the slaves,established slavery,created the Bill of Rights,signed the Constitution
Name your U.S. Representative., Answers will vary, Joe Biden, Kamala Harris, Donald Trump
What is the name of the President of the United States now?, Answers will Vary, Barack Obama, Bill Clinton, Ronald Reagan
What is the name of the Vice President of the Untied States now?, Answers will vary, Dick Cheney, Al Gore, Richard Nixon
If the President can no longer serve who becomes President?, the Vice President, the Speaker of the House, the Attorney General, the Chief Justice
What is the political party of the President now?, Answers Will Vary, Libertarian, Green, Third-Party
What is the name of the Speaker of the House of Representatives now?, Answers will Vary, Nancy Pelosi, Paul Ryan, Joe Biden



